PostalCode,District,Sector,Region,PlanningArea,Latitude,Longitude
319771,12,31,Central Region,Toa Payoh,1.333350047,103.8441029
319772,12,31,Central Region,Toa Payoh,1.333184474,103.8443417
328842,12,32,Central Region,Novena,1.32441624,103.8526035
328074,12,32,Central Region,Kallang,1.324804139,103.8641791
319773,12,31,Central Region,Toa Payoh,1.330508931,103.8436731
327950,12,32,Central Region,Kallang,1.324924284,103.8644066
329022,12,32,Central Region,Kallang,1.325055225,103.8651782
329023,12,32,Central Region,Kallang,1.325534018,103.8654981
328496,12,32,Central Region,Kallang,1.327274166,103.8656105
329387,12,32,Central Region,Novena,1.328128686,103.8436751
328106,12,32,Central Region,Novena,1.325862917,103.846542
329192,12,32,Central Region,Novena,1.327516688,103.8426038
328843,12,32,Central Region,Novena,1.324205805,103.8524715
328003,12,32,Central Region,Kallang,1.326144603,103.8623403
328827,12,32,Central Region,Novena,1.325336728,103.8539931
329780,12,32,Central Region,Novena,1.324973827,103.851427
329779,12,32,Central Region,Novena,1.324719843,103.8517228
328007,12,32,Central Region,Kallang,1.324703879,103.864609
328741,12,32,Central Region,Novena,1.324368361,103.8542195
328743,12,32,Central Region,Novena,1.323936024,103.8547363
328882,12,32,Central Region,Novena,1.323773061,103.8543632
329974,12,32,Central Region,Novena,1.327234271,103.84514
327981,12,32,Central Region,Kallang,1.326885496,103.8641332
327979,12,32,Central Region,Kallang,1.326562032,103.863659
328004,12,32,Central Region,Kallang,1.327314391,103.8642258
328369,12,32,Central Region,Novena,1.323262809,103.8512156
328468,12,32,Central Region,Kallang,1.327857891,103.8660886
329928,12,32,Central Region,Novena,1.321295632,103.8525261
328644,12,32,Central Region,Novena,1.324082891,103.8506293
328847,12,32,Central Region,Novena,1.323587478,103.8526471
329089,12,32,Central Region,Novena,1.326922559,103.8492416
328702,12,32,Central Region,Kallang,1.327515192,103.8628256
328005,12,32,Central Region,Kallang,1.326186059,103.8639936
328688,12,32,Central Region,Kallang,1.326600816,103.8619582
329001,12,32,Central Region,Kallang,1.326612851,103.8643397
328465,12,32,Central Region,Kallang,1.327098636,103.8660657
328107,12,32,Central Region,Novena,1.324497216,103.8462225
329731,12,32,Central Region,Novena,1.322976981,103.8528114
329112,12,32,Central Region,Novena,1.328393474,103.8492417
329111,12,32,Central Region,Novena,1.327898,103.8493109
329370,12,32,Central Region,Novena,1.327561401,103.8437055
328784,12,32,Central Region,Novena,1.326118368,103.853496
329929,12,32,Central Region,Novena,1.321625885,103.8521701
328626,12,32,Central Region,Novena,1.324040931,103.851081
329415,12,32,Central Region,Novena,1.327335168,103.8433239
